Tempo;Entrada;Saida;
915532245;3.162711;8.000000;
915632245;3.185735;8.000000;
915732279;3.159468;8.000000;
915832248;3.194166;8.000000;
915932246;3.154604;8.000000;
916032250;3.197409;8.000000;
916132284;3.189951;8.000000;
916232264;3.195788;8.000000;
916332271;3.182168;8.000000;
916432268;3.174709;8.000000;
916532222;3.183465;8.000000;
916632312;3.155252;8.000000;
916732262;3.171466;8.000000;
916832288;3.156549;8.000000;
916932265;3.184114;8.000000;
917032276;3.177628;8.000000;
917132289;3.187356;8.000000;
917232290;3.179898;8.000000;
917332287;3.169521;8.000000;
917432268;3.187681;8.000000;
917532295;3.174385;8.000000;
917632274;3.181195;8.000000;
917732280;3.183789;8.000000;
917832368;3.156549;8.000000;
917932290;3.154279;8.000000;
918032256;3.164332;8.000000;
918132306;3.146496;8.000000;
918232275;3.161738;8.000000;
918332317;3.158819;8.000000;
918432271;3.160116;8.000000;
918532286;3.160116;8.000000;
918632264;3.168224;8.000000;
918732291;3.150712;8.000000;
918832264;3.149739;8.000000;
918932256;3.149739;8.000000;
919032297;3.138065;8.000000;
919132287;3.134822;8.000000;
919232308;3.119256;8.000000;
919332286;3.138714;8.000000;
919432304;3.157522;8.000000;
919532298;3.130282;8.000000;
919632301;3.114068;8.000000;
919732314;3.141632;8.000000;
919832303;3.121851;8.000000;
919932320;3.115365;8.000000;
920032305;3.092989;8.000000;
920132320;3.143254;8.000000;
920232322;3.093314;8.000000;
920332323;3.104339;8.000000;
920432299;3.091368;8.000000;
920532309;3.105312;8.000000;
920632284;3.111149;8.000000;
920732309;3.104339;8.000000;
920832283;3.094611;8.000000;
920932300;3.091368;8.000000;
921032297;3.075154;8.000000;
921132299;3.073208;8.000000;
921232317;3.099475;8.000000;
921332285;3.067695;8.000000;
921432315;3.057318;8.000000;
921532277;3.071262;8.000000;
921632303;3.070938;8.000000;
921732288;3.076775;8.000000;
921832344;3.083585;8.000000;
921932310;3.072235;8.000000;
922032318;3.088774;8.000000;
922132346;3.013864;8.000000;
922232371;3.031375;8.000000;
922332349;3.044347;8.000000;
922432347;3.067371;8.000000;
922532318;3.056345;8.000000;
922632325;3.035915;8.000000;
922732326;3.047914;8.000000;
922832329;3.034942;8.000000;
922932303;3.020674;8.000000;
923032329;3.025862;8.000000;
923132350;3.023268;8.000000;
923232315;3.011594;8.000000;
923332318;3.009648;8.000000;
923432356;3.027484;8.000000;
923532304;3.048562;8.000000;
923632347;3.005432;8.000000;
923732347;3.017107;8.000000;
923832347;3.001541;8.000000;
923932344;2.999595;8.000000;
924032356;3.026835;8.000000;
924132292;3.011270;8.000000;
924232353;3.005432;8.000000;
924332327;2.997974;8.000000;
924432354;3.000568;8.000000;
924532361;2.994407;8.000000;
924632320;2.995380;8.000000;
924732332;3.006081;8.000000;
924832366;3.007702;8.000000;
924932348;2.999595;8.000000;
925032360;3.005432;8.000000;
925132355;3.011270;8.000000;
925232362;2.985975;8.000000;
925332362;2.989542;8.000000;
925432360;2.985975;8.000000;
925532302;2.997650;8.000000;
925632397;2.983381;8.000000;
925732374;2.973977;8.000000;
925832348;2.997325;8.000000;
925932364;2.964897;8.000000;
926032372;2.982408;8.000000;
926132363;2.965545;8.000000;
926232354;2.976895;8.000000;
926332382;2.927280;8.000000;
926432374;2.970085;8.000000;
926532362;2.917875;8.000000;
926632382;2.951601;8.000000;
926732380;2.951601;8.000000;
926832375;2.969761;8.000000;
926932383;2.981760;8.000000;
927032363;2.967815;8.000000;
927132375;2.977544;8.000000;
927232406;2.978841;8.000000;
927332373;2.963600;8.000000;
927432379;2.951925;8.000000;
927532357;3.138065;8.000000;
927632391;2.930847;8.000000;
927732390;2.935063;8.000000;
927832399;2.931495;8.000000;
927932370;2.928253;8.000000;
928032397;2.935711;8.000000;
928132380;2.931820;8.000000;
928232384;2.945440;8.000000;
928332361;2.913011;8.000000;
928432383;2.957762;8.000000;
928532353;2.908147;8.000000;
928632390;2.924685;8.000000;
928732388;2.933117;8.000000;
928832394;2.909768;8.000000;
928932397;2.905553;8.000000;
929032375;2.913011;8.000000;
929132399;2.905228;8.000000;
929232422;2.898418;8.000000;
929332385;2.921118;8.000000;
929432396;2.912038;8.000000;
929532408;2.913335;8.000000;
929632415;2.917875;8.000000;
929732415;2.898094;8.000000;
929832381;2.890960;8.000000;
929932359;2.908795;8.000000;
930032387;2.907174;8.000000;
930132388;2.910417;8.000000;
930232393;2.897121;8.000000;
930332411;2.913660;8.000000;
930432385;2.894527;8.000000;
930532418;2.890311;8.000000;
930632422;2.906850;8.000000;
930732405;2.883501;8.000000;
930832433;2.888041;8.000000;
930932396;2.893554;8.000000;
931032400;2.883501;8.000000;
931132429;2.873773;8.000000;
931232403;2.882528;8.000000;
931332413;2.889663;8.000000;
931432406;2.880583;8.000000;
931532415;2.865341;8.000000;
931632418;2.862747;8.000000;
931732418;2.873773;8.000000;
931832410;2.906201;8.000000;
931932429;2.879934;8.000000;
932032415;2.877340;8.000000;
932132420;2.889987;8.000000;
932232428;2.852046;8.000000;
932332507;2.883826;8.000000;
932432438;2.836156;8.000000;
932532419;2.853667;8.000000;
932632404;2.849776;8.000000;
932732403;2.851721;8.000000;
932832402;2.848154;8.000000;
932932452;2.844911;8.000000;
933032416;2.851397;8.000000;
933132416;2.855288;8.000000;
933232397;2.841020;8.000000;
933332430;2.852046;8.000000;
933432418;2.806646;8.000000;
933532450;2.856586;8.000000;
933632416;2.846208;8.000000;
933732442;2.866638;8.000000;
933832410;2.851721;8.000000;
933932428;2.852046;8.000000;
934032419;2.835507;8.000000;
934132471;2.840047;8.000000;
934232488;2.851073;8.000000;
934332438;2.853018;8.000000;
934432425;2.835183;8.000000;
934532421;2.822536;8.000000;
934632423;2.796593;8.000000;
934732426;2.828697;8.000000;
934832431;2.785567;8.000000;
934932384;2.843614;8.000000;
935032411;2.811834;8.000000;
935132439;2.833237;8.000000;
935232423;2.792377;8.000000;
935332505;2.794323;8.000000;
935432452;2.818320;8.000000;
935532448;2.809240;8.000000;
935632462;2.819293;8.000000;
935732432;2.779730;8.000000;
935832436;2.794647;8.000000;
935932435;2.818969;8.000000;
936032432;2.859828;8.000000;
936132447;2.810213;8.000000;
936232460;2.788486;8.000000;
936332449;2.789134;8.000000;
936432465;2.802754;8.000000;
936532480;2.808591;8.000000;
936632466;2.813456;8.000000;
936732439;2.794323;8.000000;
936832499;2.784594;8.000000;
936932441;2.793999;8.000000;
937032463;2.808591;8.000000;
937132453;2.834210;8.000000;
937232436;2.791404;8.000000;
